Country,year,broad_money,decade,annual change,world_money,gap_world,gap_world_pct
COL,2011,39.65247156,2010,1.7156090500000047,109.1949223,-69.54245073999999,-63.68652431377754
COL,2012,42.74628079,2010,3.093809229999998,111.5060523,-68.75977151,-61.66460931197364
COL,2013,45.37760998,2010,2.6313291900000024,112.095354,-66.71774402,-59.51874153499707
COL,2014,46.37815885,2010,1.0005488699999958,114.5310446,-68.15288575,-59.50603697715684
COL,2015,48.99143708,2010,2.613278229999999,117.7380764,-68.74663932,-58.38947044322528
COL,2016,48.91995836,2010,-0.07147871999999467,121.6668651,-72.74690673999999,-59.791880624365646
COL,2017,49.02411627,2010,0.10415790999999786,119.9613444,-70.93722813,-59.133405418887584
COL,2018,36.91009138,2010,-12.114024890000003,120.2048697,-83.29477832,-69.29401323580487
COL,2019,36.86598904,2010,-0.04410233999999491,122.2835326,-85.41754356,-69.85204118972271
COL,2020,46.94138133,2020,10.075392289999996,140.0833201,-93.14193877000001,-66.4903849391274
COL,2021,45.8298288,2020,-1.1115525299999973,139.9156172,-94.08578840000001,-67.24466523669811
COL,2022,41.75803201,2020,-4.0717967900000005,136.9038372,-95.14580519,-69.49827494681793
COL,2023,40.36301146,2020,-1.3950205499999981,135.5653641,-95.20235264000002,-70.22616231810792
COL,2024,41.63262577,2020,1.2696143099999944,136.1055622,-94.47293643,-69.41151772414486
COL,2025,43.05737092,2020,1.4247451499999997,136.1055622,-93.04819128000001,-68.36472351017555
MEX,1976,38.73231218,1970,,61.83287432,-23.10056214,-37.35967702301697
MEX,1977,29.97836668,1970,-8.7539455,62.12656097,-32.14819429,-51.74629625084815
MEX,1978,32.02396234,1970,2.0455956599999965,65.39267936,-33.368717020000005,-51.02821500293394
MEX,1979,33.13233377,1970,1.1083714300000054,64.11446166,-30.98212789,-48.323150640020515
MEX,1980,29.77619214,1980,-3.3561416300000033,62.94883596,-33.17264382,-52.69778751918322
MEX,1981,32.63644311,1980,2.8602509700000027,64.65567791,-32.01923479999999,-49.52269597199247
