country,year,Broad money (% of GDP),Domestic credit to private sector (% of GDP),"GDP per capita, PPP (constant 2021 international $)",Gross capital formation (% of GDP),"Inflation, GDP deflator (annual %)",world_broad_money,broad_money_gap_world,broad_money_gap_world_pct,broad_money_percentile
COL,2013,45.37760998,39.48369169,15912.24713,22.18254485,1.907676432,112.095354,-66.71774402,-59.51874153499707,0.88
COL,2014,46.37815885,42.3846057,16480.36315,24.00331366,2.235632376,114.5310446,-68.15288575,-59.50603697715684,0.92
COL,2015,48.99143708,46.9053936,16821.38014,23.77369229,2.449328421,117.7380764,-68.74663932,-58.38947044322528,0.98
COL,2016,48.91995836,47.05419781,17003.24437,23.16741956,5.148334305,121.6668651,-72.74690673999999,-59.791880624365646,0.96
COL,2017,49.02411627,49.8054214,16986.03342,21.59937684,5.1337359,119.9613444,-70.93722813,-59.133405418887584,1.0
COL,2018,36.91009138,45.87070747,17104.13135,21.19547556,4.630579673,120.2048697,-83.29477832,-69.29401323580487,0.7
COL,2019,36.86598904,46.04157811,17336.7716,21.38060955,4.002620543,122.2835326,-85.41754356,-69.85204118972271,0.68
COL,2020,46.94138133,51.99877906,15861.49993,19.12814694,1.48172462,140.0833201,-93.14193877000001,-66.4903849391274,0.94
COL,2021,45.8298288,47.91240607,17383.09017,18.91695189,7.802113095,139.9156172,-94.08578840000001,-67.24466523669811,0.9
COL,2022,41.75803201,44.18831296,18458.72095,19.7872446,14.92503668,136.9038372,-95.14580519,-69.49827494681793,0.82
COL,2023,40.36301146,41.5886838,18406.62423,16.38060736,6.992906539,135.5653641,-95.20235264000002,-70.22616231810792,0.78
COL,2024,41.63262577,39.37408267,18481.83749,16.47255964,6.357571171,136.1055622,-94.47293643,-69.41151772414486,0.8
COL,2025,43.05737092,39.85652811,18778.64826,16.71905046,5.422716818,136.1055622,-93.04819128000001,-68.36472351017555,0.86
MEX,1976,38.73231218,48.00314815,35.50211225,22.2885558,19.36354569,61.83287432,-23.10056214,-37.35967702301697,0.88
MEX,1977,29.97836668,48.00314815,35.50211225,22.8457112,30.44223576,62.12656097,-32.14819429,-51.74629625084815,0.62
MEX,1978,32.02396234,48.00314815,35.50211225,23.60549422,16.00237853,65.39267936,-33.368717020000005,-51.02821500293394,0.7
MEX,1979,33.13233377,48.00314815,35.50211225,25.94664928,19.67329801,64.11446166,-30.98212789,-48.323150640020515,0.74
MEX,1980,29.77619214,48.00314815,35.50211225,25.72981767,41.40513716,62.94883596,-33.17264382,-52.69778751918322,0.6
MEX,1981,32.63644311,48.00314815,35.50211225,25.94430226,25.07554762,64.65567791,-32.01923479999999,-49.52269597199247,0.72
MEX,1982,31.29094902,48.00314815,35.50211225,21.55988646,61.08111847,67.39981766,-36.10886864,-53.574134016433185,0.66
MEX,1983,28.40351693,48.00314815,35.50211225,19.78151126,88.85988117,70.78738012,-42.38386319,-59.874886057585606,0.5
MEX,1984,29.13411489,48.00314815,35.50211225,18.93074176,59.26463123,73.1733284,-44.03921351,-60.184789284506564,0.54
MEX,1985,25.49850291,48.00314815,35.50211225,20.00977669,59.14951623,74.66205194,-49.16354903,-65.84810858066005,0.34
