country,series,year,value,decade,change,annual_change,pct_change,rolling_5y,rolling_std_5y
BRA,"Inflation, GDP deflator (annual %)",2001,8.225094321,2000,2.61902918,2.61902918,46.71778001375171,6.8990090684,1.5210010390292026
BRA,"Inflation, GDP deflator (annual %)",2002,9.798112238,2000,1.5730179169999996,1.5730179169999996,19.124618583203713,7.312826833600001,2.0070766244927043
BRA,"Inflation, GDP deflator (annual %)",2003,14.09102152,2000,4.292909282,4.292909282,43.81363652225598,9.1461588206,3.144322359290202
BRA,"Inflation, GDP deflator (annual %)",2004,7.752060763,2000,-6.338960757,-6.338960757,-44.985814179637984,9.094470796600001,3.1696799751857507
BRA,"Inflation, GDP deflator (annual %)",2005,7.431224757,2000,-0.3208360060000004,-0.3208360060000004,-4.138718926602413,9.4595027198,2.7440233429137697
BRA,"Inflation, GDP deflator (annual %)",2006,6.774274088,2000,-0.6569506689999995,-0.6569506689999995,-8.840409091128231,9.169338673199999,2.974238106899648
BRA,"Inflation, GDP deflator (annual %)",2007,6.439038106,2000,-0.3352359820000004,-0.3352359820000004,-4.948662803500081,8.4975238468,3.169656071750584
BRA,"Inflation, GDP deflator (annual %)",2008,8.778552728,2000,2.3395146219999994,2.3395146219999994,36.33329362999114,7.4350300884000005,0.9129861077144942
BRA,"Inflation, GDP deflator (annual %)",2009,7.313482743,2000,-1.4650699849999995,-1.4650699849999995,-16.689197301589644,7.3473144844,0.8958194159719722
BRA,"Inflation, GDP deflator (annual %)",2010,8.423338338,2010,1.1098555950000009,1.1098555950000009,15.175472944983493,7.5457372006,1.0202816072385867
BRA,"Inflation, GDP deflator (annual %)",2011,8.318592222,2010,-0.10474611600000117,-0.10474611600000117,-1.2435226010982237,7.8546008274000005,0.9603468230903159
BRA,"Inflation, GDP deflator (annual %)",2012,7.943126935,2010,-0.37546528699999904,-0.37546528699999904,-4.513567644378746,8.1554185932,0.556917070775424
BRA,"Inflation, GDP deflator (annual %)",2013,7.504564534,2010,-0.43856240100000043,-0.43856240100000043,-5.521281537974065,7.9006209544,0.48768129132087235
BRA,"Inflation, GDP deflator (annual %)",2014,7.846709752,2010,0.34214521799999975,0.34214521799999975,4.559161513634602,8.0072663562,0.37169917186168355
BRA,"Inflation, GDP deflator (annual %)",2015,7.566175007,2010,-0.28053474499999975,-0.28053474499999975,-3.5751895235897613,7.835833689999999,0.3267801197089987
BRA,"Inflation, GDP deflator (annual %)",2016,8.103604376,2010,0.5374293689999998,0.5374293689999998,7.10305231511017,7.7928361208,0.25325006013058243
BRA,"Inflation, GDP deflator (annual %)",2017,3.671384503,2010,-4.432219872999999,-4.432219872999999,-54.694425682066395,6.9384876344,1.841925744960008
BRA,"Inflation, GDP deflator (annual %)",2018,4.493534328,2010,0.8221498249999999,0.8221498249999999,22.39345468523377,6.336281593200001,2.0865554649775717
BRA,"Inflation, GDP deflator (annual %)",2019,4.224258863,2010,-0.26927546499999977,-0.26927546499999977,-5.992509355544417,5.611791415400001,2.0597130585989034
BRA,"Inflation, GDP deflator (annual %)",2020,6.472499623,2020,2.24824076,2.24824076,53.22213512273572,5.3930563386,1.8474069503937156
BRA,"Inflation, GDP deflator (annual %)",2021,13.04727086,2020,6.574771236999999,6.574771236999999,101.58009455321677,6.3817896354,3.873099901145307
BRA,"Inflation, GDP deflator (annual %)",2022,8.570281962,2020,-4.476988898,-4.476988898,-34.313604324146,7.361569127199999,3.627911754580625
BRA,"Inflation, GDP deflator (annual %)",2023,5.159501074,2020,-3.4107808879999997,-3.4107808879999997,-39.79776748446727,7.4947624764,3.506485154547346
